COUNTY,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
Jeff Davis,71.4425,78.4825,56.36,57.7425,73.5075
Jefferson,50.13415115,54.20729759,43.15798475,43.54002188,47.46731654
Jefferson Davis,80.085,83.356,29.549,60.324,72.864
Jenkins,79.815,74.85,64.445,59.855,78.08
Jennings,60.59,64.965,10.21833333,55.035,50.87833333
Jerauld,23.76,44.2,14.79,61.56,31.01
Jerome,70.402,63.43,77.304,69.162,77.35
Jersey,41.09166667,49.44333333,11.87333333,48.49,35.56833333
Jessamine,61.86444444,70.04222222,32.27111111,35.49444444,51.68444444
Jewell,39.425,53.71,8.925,33.505,28.69
Jim Hogg,91.02,99.745,88.585,72.825,97.695
Jim Wells,76.01,76.36142857,80.63571429,72.55714286,84.17714286
Jo Daviess,34.78333333,56.21333333,15.28,43.145,34.21166667
Johnson,32.55457983,39.33159664,35.68460251,37.47610879,31.58672269
Johnston,62.31285714,71.54678571,56.50928571,55.12714286,65.25464286
Jones,60.43727273,73.8769697,33.65411765,51.63636364,57.39787879
Josephine,66.8,69.70125,20.464375,58.785,59.508125
Juab,45.455,61.18,28.86,72.755,53.845
Judith Basin,33.65,53.94,3.96,41.77,27.02
Juneau,51.49142857,65.53285714,16.34142857,70.07571429,53.28714286
Juneau City and Borough,23.815,23.73666667,49.19833333,76.91666667,42.44333333
Juniata,58.796,66.644,23.208,68.308,58.708
Kalamazoo,47.59684211,49.72192982,33.82754386,49.57421053,44.91052632
Kalawao,25.39,19.73,78.39,49.28,38.98
Kalkaska,70.22,73.362,12.58,55.15,58.366
Kanabec,47.8375,72.3125,10.095,56.595,48.0075
Kanawha,57.74528302,69.23433962,18.24943396,47.36358491,49.99264151
Kandiyohi,36.9825,56.475,38.32,53.33916667,44.54333333
Kane,47.43428571,36.80392857,63.21166667,39.80535714,46.13595238
Kankakee,55.38482759,63.10482759,44.13655172,49.9237931,53.4562069
Karnes,59.955,64.5375,66.39,58.0125,65.5275
Kauai,37.71153846,47.38769231,74.40230769,51.49307692,51.3
Kaufman,61.87388889,59.51444444,60.63222222,52.38444444,61.49333333
Kay,66.82545455,89.17818182,40.99818182,67.30636364,72.86
Kearney,28.43,55.12,20.545,47.775,32.655
Kearny,68.41,65.92,59.13,56.6,68.38
Keith,44.31666667,69.53666667,18.5,67.06333333,50.7
Kemper,81.555,82.59,37.52,64.37,75.955
Kenai Peninsula,46.78461538,52.56846154,31.56307692,72.29153846,53.86615385
Kendall,28.891875,47.625,52.2925,29.640625,31.67
Kenedy,57.3,95.05,95.27,67.95,84.19
Kennebec,44.98645161,59.05032258,12.99032258,56.65419355,43.29935484
Kenosha,54.45942857,52.82742857,40.91257143,51.84914286,51.09742857
Kent,45.03921569,50.46485294,42.1197549,49.0054902,45.6552451
Kenton,47.64707317,54.84780488,24.81560976,45.07829268,41.79
Keokuk,42.9425,62.135,6.89,29.7975,30.03
Kern,74.09836735,59.26585034,75.99682119,61.53312925,73.24102041
Kerr,49.017,75.686,52.706,69.23,64.678
Kershaw,64.03133333,69.20533333,35.222,31.93133333,51.692
Ketchikan Gateway,39.795,56.09,40.91,74.7525,55.4625
Kewaunee,33.8125,48.29,18.5375,60.3025,37.74
Keweenaw,39.3,36.805,17.105,56.24,41.62
Keya Paha,14.47,35.17,0.74,9.03,4.91
Kidder,29.58,54.99,5.19,22.51,18.94
Kimball,61.31,93.76,30.39,72.41,71.62
Kimble,56.985,87.58,58.585,60.26,68.265
King,28.36349246,26.08,60.96756281,58.68751256,39.43123116
King and Queen,57.225,61.165,37.48,23.13,43.51
King George,23.116,34.69,32.95,26.592,21.242
King William,35.47,48.715,25.3125,25.795,27.145
Kingfisher,38.7125,79.965,44.915,42.5675,48.9775
Kingman,31.27333333,67.09666667,11.51,37.48333333,30.04666667
Kings,61.23612403,36.43143411,78.33032175,73.68083979,67.45416021
Kingsbury,26.375,59.375,5.685,53.18,29.675
Kinney,81.66,58.1,84.94,81.46,86.41
Kiowa,57.258,81.69,30.588,58.922,60.756
Kit Carson,44.88333333,75.23666667,35.18333333,60.52666667,54.09333333
Kitsap,35.13,53.35185185,31.87740741,51.95055556,40.36888889
Kittitas,51.93875,35.34375,28.54375,56.5975,42.54625
Kittson,30.34,49.34,3.62,75.565,37.235
Klamath,67.172,71.4835,37.2295,69.8295,67.9695
Kleberg,80.592,64.808,76.1,88.554,88.034
Klickitat,61.62666667,62.79666667,46.54666667,78.82666667,69.18333333
Knott,93.526,69.122,5.64,66.674,73.324
Knox,48.87356322,51.40691429,25.88148571,45.55034483,42.17557471
Kodiak Island,43.496,51.89,65.04,83.95,65.012
Koochiching,55.8875,73.02,16.11,68.93,56.9825
Kootenai,44.2956,59.7284,15.7148,47.7688,40.4948
Kosciusko,45.55631579,65.12736842,32.39473684,47.63684211,46.61473684
Kossuth,31.04333333,70.89,12.73666667,37.60666667,32.59333333
Kusilvak,98.01,74.77,74.96,95.99,97.34
La Crosse,34.058,36.2692,31.708,53.7336,36.2124
La Paz,64.84625,61.27375,47.75875,53.77,60.28
La Plata,24.169,17.582,29.913,59.304,26.888
La Salle,64.16,67.82,90.15,93.36,87.13
Labette,59.445,81.7475,19.62625,66.5625,62.55
Lac qui Parle,26.35666667,59.71,16.89333333,55.37,35.04333333
Lackawanna,50.08932203,63.67152542,35.98644068,43.62813559,47.57474576
Laclede,72.18833333,79.18,9.96,66.57666667,63.90333333
Lafayette,54.93470588,51.50411765,42.62382353,59.65294118,54.56764706
Lafourche,67.86521739,65.74347826,36.79521739,57.6426087,62.36304348
LaGrange,50.17875,44.395,33.2775,59.88625,48.1925
Lake,48.20833729,53.56130641,48.51518957,43.13178147,47.3472209
Lake and Peninsula,77.9,71.77,56.36,93.35,85.84
Lake of the Woods,39.06,48.035,12.24,66.895,40.18
Lamar,67.01884615,73.005,34.71692308,54.08269231,62.08307692
Lamb,66.572,93.172,80.876,70.88,83.874
Lamoille,41.32428571,43.71285714,7.998571429,51.42285714,34.08142857
LaMoure,33.295,29.775,20.095,41.045,26.75
Lampasas,53.97,76.416,42.314,57.188,59.65
Lancaster,42.58162162,44.63817204,39.33708995,51.04951351,43.53897297
Lander,65.33,82.37,65.47,94.76,85.8
Lane,54.74310345,59.21126437,32.34114943,62.38655172,54.77563218
Langlade,55.90833333,65.23333333,13.18166667,48.43666667,46.14833333
Lanier,84.985,86.845,22.63,48.26,68.505
Lapeer,49.88913043,53.05434783,18.32041667,44.19217391,40.24304348
LaPorte,59.49,57.96785714,31.52607143,44.44464286,50.62714286
Laramie,37.871,49.5995,32.0555,45.0515,37.9715
Larimer,32.22205479,26.31589041,32.94328767,40.02041096,26.6569863
Larue,65.8925,83.7375,16.17,41.3225,54.345
Las Animas,65.775,64.48666667,61.28833333,63.68333333,69.82
LaSalle,56.95129032,60.93903226,30.97774194,46.98354839,50.31258065
Lassen,54.72444444,58.68666667,40.62111111,60.03,56.68666667
Latah,43.76428571,42.84285714,16.57142857,65.70571429,39.48857143
Latimer,70.86333333,89.94333333,39.68333333,68.45,74.84333333
Lauderdale,66.9466,69.2656,33.7416,56.7514,61.631
Laurel,76.51230769,74.26,5.985384615,55.59615385,60.13923077
Laurens,73.24366667,75.12433333,36.298,55.13366667,66.484
Lavaca,44.925,85.835,47.39,74.25333333,66.37833333
Lawrence,64.598,73.19733333,16.36047619,49.98104762,54.93666667
Le Flore,76.035,90.84,44.7725,67.40083333,78.74
Le Sueur,32.55333333,51.29,22.30166667,58.065,38.05
Lea,67.53833333,63.25388889,78.43722222,60.33722222,71.74111111
Leake,88.514,91.868,48.456,69.726,85.052
Leavenworth,37.265,57.640625,29.945625,35.56875,36.01875
Lebanon,48.3816129,58.80741935,34.95322581,47.99935484,46.90483871
Lee,53.53442804,53.22376384,45.24715867,45.64391144,49.71863469
Leelanau,24.045,37.975,23.14,41.82333333,25.41166667
Leflore,85.2575,65.97625,54.51625,68.83625,78.5675
Lehigh,46.52697368,54.60789474,52.47236842,44.74894737,48.04236842
Lemhi,48.14,66.80666667,14.44666667,76.09333333,53.31333333
Lenawee,49.09173913,65.90956522,26.86565217,44.72217391,45.25652174
Lenoir,82.78333333,84.296,61.678,65.902,83.166
Leon,51.83985915,36.04746479,46.6556338,47.72257143,45.13028571
Leslie,91.57,56.42666667,1.583333333,60.09333333,66.15
Letcher,92.84714286,90.12857143,7.254285714,58.71428571,76.15285714
Levy,75.57222222,80.36111111,37.71555556,65.02555556,72.79444444
Lewis,64.53844444,75.11155556,22.19355556,57.12911111,58.62288889
Lewis and Clark,28.71928571,51.43642857,13.03142857,46.25142857,29.67357143
Lexington,48.06739726,55.44780822,39.63054795,38.03547945,43.98
Lexington City,66.23,12.73,15.13,73,47.11
Liberty,68.08096774,66.23193548,54.13677419,61.52548387,68.42032258
Licking,45.1090625,62.935,16.04875,38.2571875,37.865
Limestone,68.52333333,61.68,46.50333333,50.55458333,61.03208333
Lincoln,52.17335484,63.97612903,22.75206452,51.75264516,48.73464516
Linn,41.82054795,56.3839726,28.03041096,51.9160274,43.92945205
Lipscomb,61.725,71.915,60.15,57.135,68.875
Litchfield,28.88235294,34.20823529,29.00960784,33.30705882,25.58627451
Little River,64.1825,83.9275,23.5475,56.1825,61.84
Live Oak,56.6,58.28,62.985,63.84,65.165
Livingston,35.00440367,42.39363636,15.45390909,38.7575,29.59138889
Llano,47.23333333,60.95,27.15166667,41.47166667,41.93166667
Logan,58.19421053,63.85368421,21.51947368,57.91894737,53.69964912
Long,81.7,83.185,53.42,59.9,78.585
Lonoke,52.24125,62.595,28.8375,48.5,48.85
Lorain,54.38671233,65.9130137,34.25767123,39.85,48.21945205
Los Alamos,9.5225,29.1075,39.8525,31.1875,16.465
Los Angeles,59.58454231,35.46582437,83.83047271,60.79161708,63.19235421
Loudon,52.298,57.883,35.11,50.833,49.764
Loudoun,14.99734375,18.89390625,61.47203125,23.39921875,19.184375
Louisa,56.89555556,59.64555556,46.01,49.99666667,54.74222222
Loup,17.09,42.94,1.25,6.69,5.39
Love,60.92333333,79.85333333,48.01333333,55.64666667,64.24
Loving,58.57,74,61.53,56.26,66.04
Lowndes,72.38255814,53.90069767,45.71511628,56.63627907,63.69209302
Lubbock,53.79761194,55.72701493,56.88014925,52.1538806,55.35328358
Lucas,61.1348855,69.25748092,39.70442748,45.10770992,56.17396947
Luce,64.97,54.865,22.605,66.795,58.075
Lumpkin,58.9975,48.9575,29.3275,45.55,47.1725
Luna,93.86,91.52666667,88.35833333,75.525,95.395
Lunenburg,71.09333333,70.42333333,42.35666667,68.41333333,70.43666667
Luzerne,54.33621359,62.64213592,31.44145631,43.87796117,47.94912621
Lycoming,51.67241379,60.62517241,16.29344828,44.47241379,42.9737931
Lyman,60.04,53.59,35.605,62.075,55.77
Lynchburg City,61.74631579,49.93,44.83684211,65.00315789,58.55263158
Lynn,72.43,93.43,66.92,57.69,79.94666667
Lyon,49.98866667,57.67366667,39.459,58.06966667,53.00866667
Mackinac,62.51,66.444,36.574,64.488,62.968
Macomb,49.20877934,51.51413953,39.16083721,37.42169014,42.84731132
Macon,63.77014706,69.23220588,31.08764706,50.04632353,56.83279412
Macoupin,52.75384615,66.77230769,8.833076923,46.32384615,42.59538462
Madera,73.85391304,63.26391304,75.48217391,58.36826087,73.1973913
Madison,52.40968944,56.01111801,31.94003106,44.71534161,46.28726708
Magoffin,90.0575,78.9375,0.205,58.8575,69.37
